aluno_nome;aluno_email;aluno_telefone;aluno_cpf;aluno_data_nascimento;aluno_idade;turma_id;genero_id;estado_id;escolaridade_id;ativo
miguel martins;miguelmartins@gmail.com;57988727378;19029587059;01/01/1999;23;1;1;19;1;True
arthur oliveira;arthuroliveira@gmail.com;57988727379;33396227018;02/02/1999;23;2;1;19;2;True
théo silva;théosilva@gmail.com;57988727380;57616673040;03/03/2000;21;3;1;19;3;True
heitor rodrigues;heitorrodrigues@gmail.com;57988727381;69895255098;04/04/2001;20;4;1;26;1;True
gael almeida;gaelalmeida@gmail.com;57988727382;20315343001;05/05/2002;19;5;1;26;2;True
davi cardoso;davicardoso@gmail.com;57988727383;90171096029;06/06/1990;31;6;1;24;3;True
bernardo gonçalves;bernardogonçalves@gmail.com;57988727384;26607306012;07/07/1991;30;1;1;23;1;True
gabriel santos;gabrielsantos@gmail.com;57988727385;73403422062;08/08/1992;29;2;1;16;2;True
ravi freitas;ravifreitas@gmail.com;57988727386;66675529072;09/01/1993;28;3;1;11;3;True
noah ribeiro;noahribeiro@gmail.com;57988727387;89923764052;10/02/1994;27;4;3;11;1;True
samuel souza;samuelsouza@gmail.com;57988727388;41894166060;11/03/1995;26;5;1;11;2;True
pedro marques;pedromarques@gmail.com;57988727389;99730495009;12/04/1996;25;6;1;9;3;True
benício gomes;beníciogomes@gmail.com;57988727390;44798308048;13/05/1997;24;1;1;7;1;True
benjamin fernandes;benjaminfernandes@gmail.com;57988727391;68361546014;14/06/1998;23;2;1;12;2;True
matheus ferreira;matheusferreira@gmail.com;57988727392;90173569013;15/07/1999;22;3;1;13;3;True
isaac carvalho;isaaccarvalho@gmail.com;57988727393;49006099007;16/08/2000;21;4;1;19;1;True
anthony alves;anthonyalves@gmail.com;57988727394;50385753071;17/01/2001;20;5;1;19;2;True
joaquim machado;joaquimmachado@gmail.com;57988727395;69447734065;18/02/2002;19;6;1;19;3;True
lucas pereira;lucaspereira@gmail.com;57988727396;18323651078;19/03/1998;23;1;1;26;1;True
lorenzo lopes;lorenzolopes@gmail.com;57988727397;45534652055;20/04/1999;22;2;1;26;2;True
rafael vieira;rafaelvieira@gmail.com;57988727398;61880654024;21/05/2000;21;3;1;24;3;True
nicolas nascimento;nicolasnascimento@gmail.com;57988727399;41223194043;22/06/2001;20;4;1;23;1;True
henrique lima;henriquelima@gmail.com;57988727400;59327595009;23/07/2002;19;5;1;16;2;True
murilo dias;murilodias@gmail.com;57988727401;40079700098;24/08/1990;31;6;1;11;3;True
joãomiguel nunes;joãomiguelnunes@gmail.com;57988727402;35276382026;25/01/1991;30;1;1;11;1;True
lucca costa;luccacosta@gmail.com;57988727403;72171730005;26/02/1992;29;2;1;11;2;True
guilherme teixeira;guilhermeteixeira@gmail.com;57988727404;13778085050;27/03/1993;28;3;1;9;3;True
henry ramos;henryramos@gmail.com;57988727405;49659523084;01/04/1994;27;4;1;7;1;True
bryan santana;bryansantana@gmail.com;57988727406;77439755090;02/05/1995;26;5;3;12;2;True
gustavo  moreira;gustavo moreira@gmail.com;57988727407;96244105001;03/06/1996;25;6;1;13;3;True
felipe mendes;felipemendes@gmail.com;57988727408;24326058021;04/07/1997;24;1;1;19;1;True
pietro andrade;pietroandrade@gmail.com;57988727409;57569652037;05/08/1998;23;2;1;19;2;True
levi rocha;levirocha@gmail.com;57988727410;47102006020;06/01/1999;22;3;1;19;3;True
daniel soares;danielsoares@gmail.com;57988727411;10021439001;07/02/2000;21;4;1;26;1;True
joão pedro barbosa;joãopedrobarbosa@gmail.com;57988727412;45936666000;08/03/2001;20;5;1;26;2;True
bento magalhães;bentomagalhães@gmail.com;57988727413;77854130027;09/04/2002;19;6;1;24;3;False
vicente amaral;vicenteamaral@gmail.com;57988727414;43773423047;10/05/1998;23;1;1;23;1;True
