aluno_cpf;turma_id
19029587059;1
33396227018;2
57616673040;3
69895255098;4
20315343001;5
90171096029;6
26607306012;1
73403422062;2
66675529072;3
89923764052;4
41894166060;5
99730495009;6
44798308048;1
68361546014;2
90173569013;3
49006099007;4
50385753071;5
69447734065;6
18323651078;1
45534652055;2
61880654024;3
41223194043;4
59327595009;5
40079700098;6
35276382026;1
72171730005;2
13778085050;3
49659523084;4
77439755090;5
96244105001;6
24326058021;1
57569652037;2
47102006020;3
10021439001;4
45936666000;5
77854130027;6
43773423047;1
87100701090;2
68986880067;3
46021743024;4
71608587002;5
68428453004;6
29732808004;1
80379680068;2
41365725065;3
77622801038;4
22656703085;5
51243008091;6
77136357004;1
86699945009;2
95196781072;3
56702557043;4
24842744081;5
95321448035;6
84279969000;1
91811478050;2
23547339090;3
13401346083;4
54233860049;5
77680270007;6
11594572046;1
47636968070;2
70391785087;3
13582935035;4
32247107052;5
70004014006;6
33936535043;1
63463829002;2
31252154046;3
47603326001;4
81791291015;5
19181214006;6
23483770046;1
99891965082;2
43152729065;3
32134091037;4
85290756094;5
80272521051;6
67628174086;1
79790146000;2
20297287052;3
73788702001;4
72129668003;5
86681586007;6
74433304050;1
34103982012;2
80115255060;3
85266282088;4
93627212010;5
47359925029;6
89836982094;1
64574642033;2
98747142049;3
71697796095;4
60233911090;5
47172370058;6
72099388008;1
92371258016;2
33773104014;3
54762102024;4
36885846007;5
44708556004;6
76227657085;1
14640145071;2
28622670074;3
35128576043;4
72472088051;5
29799736021;6
97860072041;1
74271859001;2
43852539005;3
43848948052;4
79887038032;5
16186382036;6
97229981026;1
22330737033;2
52397477092;3
78312868020;4
96710106012;5
21089891024;6
15378337070;1
65039238053;2
59820617006;3
36614913000;4
28337717033;5
51697513034;6
83497376035;1
95494191001;2
68018215049;3
99005000082;4
43288115093;5
68764262030;6
47323484081;1
13232830056;2
29421625030;3
27273409073;4
13732184013;5
78001780058;6
16958065069;1
96598831024;2
34129421034;3
27782787025;4
46152075068;5
45316174011;6
47068796044;1
29401711062;2
55506229046;3
66917953008;4
28344997054;5
22913708048;6
38715342000;1
95200300002;2
52236058020;3
47390841044;4
26893381069;5
33084608075;6
88812082025;1
93879591040;2
70346879000;3
28543343020;4
43652720040;5
20118374052;6
23748184034;1
21453813098;2
22491223007;3
79678704099;4
21401499040;5
33326930003;6
66465836092;1
77313629060;2
91054847070;3
41988075076;4
20478982003;5
34082884025;6
64319006003;1
31013181069;2
67914631043;3
42820970001;4
70782318053;5
71989389066;6
92808104057;1
40251405001;2
36485098020;3
86689756092;4
45519196087;5
61306941059;6
37728055070;1
80703246003;2
57086226017;3
63681116075;4
94436703053;5
90041286030;6
84743425034;1
71879283000;2
20926563092;3
67361157017;4
14138625003;5
64517506037;6
63610038098;1
36257710049;2
